userid	cluster	venueid	longitude	latitude	x	y	visit_count	total_dwell_minutes	first_visit	last_visit	home_distance_m	context_type	context_level	context_label	context_confidence	context_source	kakao_place_id	kakao_place_name	kakao_category_code	kakao_category_group_name	kakao_category_name	kakao_phone	kakao_place_url	poi_distance_m	address	road_address	region_1depth_name	region_2depth_name	region_3depth_name	candidate_count	api_error_count	best_score	second_score	score_margin	classifier_version	processed_at_utc
3	3	3003	127.1069312941742	36.80086417161577	964935.2208170402	1867038.988427949	1	133.89103333333335	2026-08-03 13:42:43.500000+09:00	2026-08-03 13:42:43.500000+09:00	2360.946	POI	exact_poi	카페	0.644035	kakao_category_search	844291670	고요히	CE7	카페	음식점 > 카페	0502-5551-1856	http://place.map.kakao.com/844291670	10.0	충남 천안시 서북구 불당동 1344	충남 천안시 서북구 불당16길 34-8				12	0	0.76686	0.690254	0.076606	kakao-rule-v1.0	2026-08-04T08:03:45.467309+00:00
3	4	3004	127.10734295601824	36.801362761190816	964972.1714752924	1867094.146262643	1	47.77546666666667	2026-08-03 12:54:05.472000+09:00	2026-08-03 12:54:05.472000+09:00	2308.088	POI	exact_poi	카페	0.77685	kakao_category_search	1592384718	키케	CE7	카페	음식점 > 카페		http://place.map.kakao.com/1592384718	6.0	충남 천안시 서북구 불당동 1315	충남 천안시 서북구 불당16길 23				10	0	0.813919	0.674304	0.139615	kakao-rule-v1.0	2026-08-04T08:03:45.471309+00:00
3	5	3005	127.1097369079352	36.81985039996897	965194.1001194302	1869144.1140823248	1	61.8333	2026-07-31 19:08:22.001000+09:00	2026-07-31 19:08:22.001000+09:00	459.168	CATEGORY	category	식사	0.435877	kakao_category_aggregation	1842698781	이화원	FD6	음식점	음식점 > 중식 > 중국요리	041-556-9000	http://place.map.kakao.com/1842698781	25.0	충남 천안시 서북구 불당동 1491	충남 천안시 서북구 불당23로 73-27				29	0	0.610368	0.597351	0.013017	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00
3	6	3006	127.1060417825396	36.82067988609058	964864.9253616396	1869237.481153089	1	100.28333333333332	2026-07-30 10:31:12+09:00	2026-07-30 10:31:12+09:00	164.428	CATEGORY	category	보육·유아교육	0.250285	kakao_category_aggregation	759296808	지웰키즈어린이집	PS3	어린이집, 유치원	교육,학문 > 유아교육 > 어린이집	041-571-1260	http://place.map.kakao.com/759296808	86.0	충남 천안시 서북구 불당동 1498	충남 천안시 서북구 불당24로 38				2	0	0.333714	0.316151	0.017563	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00
4	1	4001	127.0777474669122	37.62708823925252	962740.3668733452	1958709.839613288	6	3764.670783333333	2026-07-30 12:04:46+09:00	2026-08-03 18:16:16.500000+09:00	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00
4	2	4002	127.07920199036955	37.632381324929526	962871.3696303228	1959296.4695224864	6	934.5935666666668	2026-07-29 09:36:19+09:00	2026-08-03 13:53:38.011000+09:00	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00
4	3	4003	127.0754650799233	37.6230487899263	962536.9018996264	1958262.5506565876	4	2336.771933333333	2026-07-29 01:14:57.827000+09:00	2026-08-01 22:27:20+09:00	459.883	CATEGORY	category	식사	0.304679	kakao_category_aggregation	835492758	충주식당	FD6	음식점	음식점 > 한식	02-978-7580	http://place.map.kakao.com/835492758	27.0	서울 노원구 공릉동 517-65	서울 노원구 동일로182길 29				20	0	0.418626	0.406118	0.012508	kakao-rule-v1.0	2026-08-04T08:03:45.520308+00:00
4	4	4004	127.0777102423088	37.6160068119341	962731.5122474564	1957480.3798763896	1	70.20833333333333	2026-08-01 19:53:26.500000+09:00	2026-08-01 19:53:26.500000+09:00	1198.707	POI	exact_poi	식사	0.722854	kakao_category_search	1335768857	전주콩나물국밥	FD6	음식점	음식점 > 한식 > 국밥		http://place.map.kakao.com/1335768857	8.0	서울 중랑구 묵동 163-1	서울 중랑구 숙선옹주로 3				25	0	0.788686	0.672094	0.116592	kakao-rule-v1.0	2026-08-04T08:03:45.539484+00:00
4	5	4005	127.0686271391398	37.63954447594891	961941.8978782992	1960095.4312199347	1	131.22683333333333	2026-08-01 17:05:04+09:00	2026-08-01 17:05:04+09:00	1628.042	POI	exact_poi	문화생활	0.786368	kakao_category_search	19537620	CGV 중계	CT1	문화시설	문화,예술 > 영화,영상 > 영화관 > CGV	1544-1122	http://place.map.kakao.com/19537620	18.0	서울 노원구 중계동 509-2	서울 노원구 동일로204가길 12				16	0	0.772219	0.608932	0.163287	kakao-rule-v1.0	2026-08-04T08:03:45.554946+00:00
4	6	4006	127.0610475543107	37.65203815453116	961279.6678010796	1961484.6593945976	1	56.39998333333333	2026-07-31 17:01:05.501000+09:00	2026-07-31 17:01:05.501000+09:00	3167.568	CATEGORY	category	병원	0.475154	kakao_category_aggregation	10040104	상계신경정신과의원	HP8	병원	의료,건강 > 병원 > 정신건강의학과	02-3391-7575	http://place.map.kakao.com/10040104	28.0	서울 노원구 상계동 730-3	서울 노원구 동일로 1379				24	0	0.683175	0.676554	0.006621	kakao-rule-v1.0	2026-08-04T08:03:45.573578+00:00
4	7	4007	127.0798618359913	37.63246611016584	962929.5731701148	1959305.616995982	1	118.01666666666668	2026-07-31 13:21:10+09:00	2026-07-31 13:21:10+09:00	659.584	CATEGORY	category	학교	0.384565	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	74.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.512754	0.199063	0.313691	kakao-rule-v1.0	2026-08-04T08:03:45.573578+00:00
4	8	4008	127.0756098798859	37.62968289664312	962553.0082450596	1958998.5191794403	1	144.05	2026-07-30 09:33:41.500000+09:00	2026-07-30 09:33:41.500000+09:00	370.862	POI	exact_poi	카페	0.598052	kakao_category_search	21413240	휘드카페 공릉점	CE7	카페	음식점 > 카페	02-949-5020	http://place.map.kakao.com/21413240	13.0	서울 노원구 공릉동 434-2	서울 노원구 동일로198길 78				13	0	0.738938	0.679204	0.059734	kakao-rule-v1.0	2026-08-04T08:03:45.592473+00:00
4	9	4009	127.07595735690596	37.63046482737119	962584.0608005442	1959085.1325624927	1	43.46666666666667	2026-07-29 18:17:51+09:00	2026-07-29 18:17:51+09:00	436.772	POI	exact_poi	식사	0.795119	kakao_category_search	27322801	바우네수제왕돈까스	FD6	음식점	음식점 > 일식 > 돈까스,우동	02-973-9431	http://place.map.kakao.com/27322801	9.0	서울 노원구 공릉동 172-4	서울 노원구 공릉로 239				7	0	0.778985	0.613104	0.165881	kakao-rule-v1.0	2026-08-04T08:03:45.599853+00:00
4	10	4010	127.0695168654153	37.62924519298254	962015.1524161346	1958952.4066438477	1	290.01666666666665	2026-07-29 13:16:36+09:00	2026-07-29 13:16:36+09:00	770.67	CATEGORY	category	문화생활	0.411646	kakao_category_aggregation	9751124	노원문화원	CT1	문화시설	문화,예술 > 문화시설 > 문화원	02-6380-0022	http://place.map.kakao.com/9751124	55.0	서울 노원구 공릉동 710	서울 노원구 동일로197길 24				13	0	0.548862	0.507483	0.041379	kakao-rule-v1.0	2026-08-04T08:03:45.605598+00:00
