userid	stay_id	checkintime	leaving_datetime	dwell_minutes	longitude	latitude	cluster	venueid	venuetype	x	y	home_distance_m	context_type	context_level	context_label	context_confidence	context_source	kakao_place_id	kakao_place_name	kakao_category_code	kakao_category_group_name	kakao_category_name	kakao_phone	kakao_place_url	poi_distance_m	address	road_address	region_1depth_name	region_2depth_name	region_3depth_name	candidate_count	api_error_count	best_score	second_score	score_margin	classifier_version	processed_at_utc	venuetype_original
2	2_stay_0004	2026-08-01 10:13:56+09:00	2026-08-01 12:50:26+09:00	156.5	126.705422817147	37.52716997664925	1	2001	카페	929792.1333100687	1947837.1895148293	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
2	2_stay_0005	2026-08-01 13:40:56+09:00	2026-08-01 15:45:23+09:00	124.45	126.70577898876434	37.52699231964641	1	2001	카페	929823.4382842398	1947817.2133808811	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
2	2_stay_0006	2026-08-01 15:48:47+09:00	2026-08-01 17:03:57+09:00	75.16666666666667	126.705630493904	37.5270403221689	1	2001	카페	929810.362190001	1947822.6498731405	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
2	2_stay_0007	2026-08-01 19:53:14+09:00	2026-08-02 10:17:15+09:00	864.0166666666667	126.62435766018405	37.526751187223056	3	2003	교육	922628.7441958472	1947854.3266656136	41406.949	CATEGORY	category	교육	0.466431	kakao_category_aggregation	1427545976	플레이팩토 수놀수학	AC5	학원	교육,학문 > 학원 > 수학학원	010-6259-2604	http://place.map.kakao.com/1427545976	20.0	인천 서해구 청라동 102-10	인천 서해구 비즈니스로28번길 13				6	0	0.527544	0.398208	0.129336	kakao-rule-v1.0	2026-08-04T08:03:45.432050+00:00	unknown
2	2_stay_0008	2026-08-02 11:24:19+09:00	2026-08-02 12:35:50+09:00	71.51666666666667	126.7056287644692	37.52707450647	1	2001	카페	929810.241408241	1947826.4437728375	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
2	2_stay_0009	2026-08-02 15:42:08+09:00	2026-08-02 17:35:17+09:00	113.15	126.7055489451754	37.52727692848004	1	2001	카페	929803.3782420402	1947848.961241857	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
2	2_stay_0010	2026-08-02 18:27:15+09:00	2026-08-02 20:20:39+09:00	113.4	126.70559538309354	37.52679992464121	1	2001	카페	929807.034515627	1947796.0049494847	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00	unknown
3	3_stay_0001	2026-07-30 10:31:12+09:00	2026-07-30 12:11:29+09:00	100.28333333333332	127.1060417825396	36.82067988609058	6	3006	보육·유아교육	964864.9253616396	1869237.481153089	164.428	CATEGORY	category	보육·유아교육	0.250285	kakao_category_aggregation	759296808	지웰키즈어린이집	PS3	어린이집, 유치원	교육,학문 > 유아교육 > 어린이집	041-571-1260	http://place.map.kakao.com/759296808	86.0	충남 천안시 서북구 불당동 1498	충남 천안시 서북구 불당24로 38				2	0	0.333714	0.316151	0.017563	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
3	3_stay_0002	2026-07-30 12:49:03.501000+09:00	2026-07-30 14:48:50.555000+09:00	119.78423333333332	127.10682452122936	36.82049717065992	2	3002	카페	964934.6506883414	1869216.92502816	214.808	CATEGORY	category	카페	0.318058	kakao_category_aggregation	1714102933	커피유	CE7	카페	음식점 > 카페	010-2064-0254	http://place.map.kakao.com/1714102933	39.0	충남 천안시 서북구 불당동 1498	충남 천안시 서북구 불당24로 38				6	0	0.424077	0.360989	0.063088	kakao-rule-v1.0	2026-08-04T08:03:45.457557+00:00	unknown
3	3_stay_0003	2026-07-30 20:08:36.026000+09:00	2026-07-30 21:05:07.020000+09:00	56.51656666666667	127.1053967029071	36.82118590232963	1	3001	거주지	964807.625516989	1869293.8511357948	96.44	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.451497+00:00	unknown
3	3_stay_0004	2026-07-30 21:21:04+09:00	2026-07-30 22:41:18.720000+09:00	80.24533333333333	127.1053715641372	36.82120000191656	1	3001	거주지	964805.3899825164	1869295.4244666372	96.44	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.451497+00:00	unknown
3	3_stay_0005	2026-07-31 19:08:22.001000+09:00	2026-07-31 20:10:11.999000+09:00	61.8333	127.1097369079352	36.81985039996897	5	3005	식사	965194.1001194302	1869144.1140823248	459.168	CATEGORY	category	식사	0.435877	kakao_category_aggregation	1842698781	이화원	FD6	음식점	음식점 > 중식 > 중국요리	041-556-9000	http://place.map.kakao.com/1842698781	25.0	충남 천안시 서북구 불당동 1491	충남 천안시 서북구 불당23로 73-27				29	0	0.610368	0.597351	0.013017	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
3	3_stay_0006	2026-07-31 20:14:37.999000+09:00	2026-08-01 03:22:51.351000+09:00	428.2225333333333	127.106856194273	36.82054832352503	2	3002	카페	964937.4987959432	1869222.5878311065	214.808	CATEGORY	category	카페	0.318058	kakao_category_aggregation	1714102933	커피유	CE7	카페	음식점 > 카페	010-2064-0254	http://place.map.kakao.com/1714102933	39.0	충남 천안시 서북구 불당동 1498	충남 천안시 서북구 불당24로 38				6	0	0.424077	0.360989	0.063088	kakao-rule-v1.0	2026-08-04T08:03:45.457557+00:00	unknown
3	3_stay_0007	2026-08-03 12:54:05.472000+09:00	2026-08-03 13:41:52+09:00	47.77546666666667	127.10734295601824	36.801362761190816	4	3004	카페	964972.1714752924	1867094.146262643	2308.088	POI	exact_poi	카페	0.77685	kakao_category_search	1592384718	키케	CE7	카페	음식점 > 카페		http://place.map.kakao.com/1592384718	6.0	충남 천안시 서북구 불당동 1315	충남 천안시 서북구 불당16길 23				10	0	0.813919	0.674304	0.139615	kakao-rule-v1.0	2026-08-04T08:03:45.471309+00:00	unknown
3	3_stay_0008	2026-08-03 13:42:43.500000+09:00	2026-08-03 15:56:36.962000+09:00	133.89103333333335	127.1069312941742	36.80086417161577	3	3003	카페	964935.2208170402	1867038.988427949	2360.946	POI	exact_poi	카페	0.644035	kakao_category_search	844291670	고요히	CE7	카페	음식점 > 카페	0502-5551-1856	http://place.map.kakao.com/844291670	10.0	충남 천안시 서북구 불당동 1344	충남 천안시 서북구 불당16길 34-8				12	0	0.76686	0.690254	0.076606	kakao-rule-v1.0	2026-08-04T08:03:45.467309+00:00	unknown
4	4_stay_0001	2026-07-29 01:14:57.827000+09:00	2026-07-29 09:12:43.143000+09:00	477.7552666666666	127.07554683576024	37.623115033261854	3	4003	식사	962544.1497175643	1958269.8674414589	459.883	CATEGORY	category	식사	0.304679	kakao_category_aggregation	835492758	충주식당	FD6	음식점	음식점 > 한식	02-978-7580	http://place.map.kakao.com/835492758	27.0	서울 노원구 공릉동 517-65	서울 노원구 동일로182길 29				20	0	0.418626	0.406118	0.012508	kakao-rule-v1.0	2026-08-04T08:03:45.520308+00:00	unknown
4	4_stay_0002	2026-07-29 09:36:19+09:00	2026-07-29 12:39:27.375000+09:00	183.1395833333333	127.0792985086572	37.63231276964448	2	4002	학교	962879.7921011376	1959288.8271926048	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0003	2026-07-29 13:16:36+09:00	2026-07-29 18:06:37+09:00	290.01666666666665	127.0695168654153	37.62924519298254	10	4010	문화생활	962015.1524161346	1958952.4066438477	770.67	CATEGORY	category	문화생활	0.411646	kakao_category_aggregation	9751124	노원문화원	CT1	문화시설	문화,예술 > 문화시설 > 문화원	02-6380-0022	http://place.map.kakao.com/9751124	55.0	서울 노원구 공릉동 710	서울 노원구 동일로197길 24				13	0	0.548862	0.507483	0.041379	kakao-rule-v1.0	2026-08-04T08:03:45.605598+00:00	unknown
4	4_stay_0004	2026-07-29 18:17:51+09:00	2026-07-29 19:01:19+09:00	43.46666666666667	127.07595735690596	37.63046482737119	9	4009	식사	962584.0608005442	1959085.1325624927	436.772	POI	exact_poi	식사	0.795119	kakao_category_search	27322801	바우네수제왕돈까스	FD6	음식점	음식점 > 일식 > 돈까스,우동	02-973-9431	http://place.map.kakao.com/27322801	9.0	서울 노원구 공릉동 172-4	서울 노원구 공릉로 239				7	0	0.778985	0.613104	0.165881	kakao-rule-v1.0	2026-08-04T08:03:45.599853+00:00	unknown
4	4_stay_0005	2026-07-29 19:23:56+09:00	2026-07-29 22:43:38+09:00	199.7	127.0791764733552	37.63273651990999	2	4002	학교	962869.2352223364	1959335.8888337745	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0006	2026-07-29 23:14:06+09:00	2026-07-30 09:20:36.500000+09:00	606.5083333333333	127.0754961950025	37.62304711423644	3	4003	식사	962539.646822816	1958262.352325919	459.883	CATEGORY	category	식사	0.304679	kakao_category_aggregation	835492758	충주식당	FD6	음식점	음식점 > 한식	02-978-7580	http://place.map.kakao.com/835492758	27.0	서울 노원구 공릉동 517-65	서울 노원구 동일로182길 29				20	0	0.418626	0.406118	0.012508	kakao-rule-v1.0	2026-08-04T08:03:45.520308+00:00	unknown
4	4_stay_0007	2026-07-30 09:33:41.500000+09:00	2026-07-30 11:57:44.500000+09:00	144.05	127.0756098798859	37.62968289664312	8	4008	카페	962553.0082450596	1958998.5191794403	370.862	POI	exact_poi	카페	0.598052	kakao_category_search	21413240	휘드카페 공릉점	CE7	카페	음식점 > 카페	02-949-5020	http://place.map.kakao.com/21413240	13.0	서울 노원구 공릉동 434-2	서울 노원구 동일로198길 78				13	0	0.738938	0.679204	0.059734	kakao-rule-v1.0	2026-08-04T08:03:45.592473+00:00	unknown
4	4_stay_0008	2026-07-30 12:04:46+09:00	2026-07-30 13:39:40.500000+09:00	94.90833333333332	127.0775673423258	37.62708012025652	1	4001	거주지	962724.4301578476	1958708.9726497	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0009	2026-07-30 13:59:13+09:00	2026-07-30 15:12:44.500000+09:00	73.525	127.07910882678854	37.632645393221786	2	4002	학교	962863.2211473476	1959325.80547086	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0010	2026-07-30 15:28:29+09:00	2026-07-30 18:04:06+09:00	155.61666666666667	127.0792686725641	37.63236919863448	2	4002	학교	962877.1875996428	1959295.0995612775	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0011	2026-07-30 18:31:45.500000+09:00	2026-07-31 13:03:44.745000+09:00	1111.9874166666666	127.0778199359094	37.62671111002377	1	4001	거주지	962746.5350117328	1958667.932210961	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0012	2026-07-31 13:21:10+09:00	2026-07-31 15:19:11+09:00	118.01666666666668	127.0798618359913	37.63246611016584	7	4007	학교	962929.5731701148	1959305.616995982	659.584	CATEGORY	category	학교	0.384565	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	74.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.512754	0.199063	0.313691	kakao-rule-v1.0	2026-08-04T08:03:45.573578+00:00	unknown
4	4_stay_0013	2026-07-31 15:19:11+09:00	2026-07-31 16:33:50.750000+09:00	74.6625	127.0792275073839	37.632265931517225	2	4002	학교	962873.5040383096	1959283.658784258	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0014	2026-07-31 17:01:05.501000+09:00	2026-07-31 17:57:29.500000+09:00	56.39998333333333	127.0610475543107	37.65203815453116	6	4006	병원	961279.6678010796	1961484.6593945976	3167.568	CATEGORY	category	병원	0.475154	kakao_category_aggregation	10040104	상계신경정신과의원	HP8	병원	의료,건강 > 병원 > 정신건강의학과	02-3391-7575	http://place.map.kakao.com/10040104	28.0	서울 노원구 상계동 730-3	서울 노원구 동일로 1379				24	0	0.683175	0.676554	0.006621	kakao-rule-v1.0	2026-08-04T08:03:45.573578+00:00	unknown
4	4_stay_0015	2026-07-31 18:52:36+09:00	2026-07-31 22:15:45+09:00	203.15	127.0754339648441	37.62305046561617	3	4003	식사	962534.156976437	1958262.748987256	459.883	CATEGORY	category	식사	0.304679	kakao_category_aggregation	835492758	충주식당	FD6	음식점	음식점 > 한식	02-978-7580	http://place.map.kakao.com/835492758	27.0	서울 노원구 공릉동 517-65	서울 노원구 동일로182길 29				20	0	0.418626	0.406118	0.012508	kakao-rule-v1.0	2026-08-04T08:03:45.520308+00:00	unknown
4	4_stay_0016	2026-07-31 22:24:14.500000+09:00	2026-08-01 16:41:36.001000+09:00	1097.35835	127.0779123010379	37.62671126608456	1	4001	거주지	962754.6854912564	1958667.9128637323	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0017	2026-08-01 17:05:04+09:00	2026-08-01 19:16:17.610000+09:00	131.22683333333333	127.0686271391398	37.63954447594891	5	4005	문화생활	961941.8978782992	1960095.4312199347	1628.042	POI	exact_poi	문화생활	0.786368	kakao_category_search	19537620	CGV 중계	CT1	문화시설	문화,예술 > 영화,영상 > 영화관 > CGV	1544-1122	http://place.map.kakao.com/19537620	18.0	서울 노원구 중계동 509-2	서울 노원구 동일로204가길 12				16	0	0.772219	0.608932	0.163287	kakao-rule-v1.0	2026-08-04T08:03:45.554946+00:00	unknown
4	4_stay_0018	2026-08-01 19:53:26.500000+09:00	2026-08-01 21:03:39+09:00	70.20833333333333	127.0777102423088	37.6160068119341	4	4004	식사	962731.5122474564	1957480.3798763896	1198.707	POI	exact_poi	식사	0.722854	kakao_category_search	1335768857	전주콩나물국밥	FD6	음식점	음식점 > 한식 > 국밥		http://place.map.kakao.com/1335768857	8.0	서울 중랑구 묵동 163-1	서울 중랑구 숙선옹주로 3				25	0	0.788686	0.672094	0.116592	kakao-rule-v1.0	2026-08-04T08:03:45.539484+00:00	unknown
4	4_stay_0019	2026-08-01 21:41:01.500000+09:00	2026-08-01 22:15:15.500000+09:00	34.233333333333334	127.07738440667896	37.62752734640264	1	4001	거주지	962708.5112375836	1958758.6631976888	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0020	2026-08-01 22:27:20+09:00	2026-08-02 15:56:41.500000+09:00	1049.3583333333331	127.0753933125433	37.62298321966748	3	4003	식사	962530.5358432796	1958255.3045643824	459.883	CATEGORY	category	식사	0.304679	kakao_category_aggregation	835492758	충주식당	FD6	음식점	음식점 > 한식	02-978-7580	http://place.map.kakao.com/835492758	27.0	서울 노원구 공릉동 517-65	서울 노원구 동일로182길 29				20	0	0.418626	0.406118	0.012508	kakao-rule-v1.0	2026-08-04T08:03:45.520308+00:00	unknown
4	4_stay_0021	2026-08-02 16:11:15.500000+09:00	2026-08-03 13:38:41.501000+09:00	1287.43335	127.07775734140216	37.62723376021599	1	4001	거주지	962741.2724991055	1958725.9429087967	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0022	2026-08-03 13:53:38.011000+09:00	2026-08-03 18:01:35+09:00	247.94981666666664	127.0791443375373	37.63239345122457	2	4002	학교	962866.2290389924	1959297.839483695	635.984	CATEGORY	category	학교	0.319896	kakao_category_aggregation	9108449	서울과학기술대학교	SC4	학교	교육,학문 > 학교 > 대학교	02-970-6114	http://place.map.kakao.com/9108449	110.0	서울 노원구 공릉동 172	서울 노원구 공릉로 232				2	0	0.426529	0.087193	0.339336	kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
4	4_stay_0023	2026-08-03 18:16:16.500000+09:00	2026-08-03 20:35:01.500000+09:00	138.75	127.07773759242224	37.62709635824852	1	4001	거주지	962739.4612475848	1958710.7065768763	33.764	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.496372+00:00	unknown
