연번,시설명,시설종류,시설유형,소재지,입소정원,시설운영,설치일자,전화번호,데이터기준일자
31,청라더사랑 요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 중봉대로586번길 15, 805호 (청라동, 청연프라자)",27,개인,2021-01-01,032-565-2090,2026-06-10
32,푸른솔요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 승학로 577, 402호 (검암동, 장은프라자)",28,개인,2021-03-01,032-564-9540,2026-06-10
33,서구삼성요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 건지로284번길 5, 지하1층~3층 (가좌동)",29,개인,2021-04-01,032-579-1010,2026-06-10
34,두드림요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 심곡로 78, 1층,2층,4~5층 (심곡동)",39,개인,2021-07-01,032-563-3388,2026-06-10
35,고은빛요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 대촌로 11, 1동 401호, 501호 (오류동, 다담프라자)",29,개인,2021-08-01,032-564-0322,2026-06-10
36,굿모닝재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 원당대로 865, 8층 (원당동, 대산프라자)",42,개인,2021-08-10,032-569-7787,2026-06-10
37,노블레스요양원,노인의료복지시설,노인요양시설,인천광역시 서구 오류로26번길 9 (오류동),75,개인,2021-09-01,032-562-9939,2026-06-10
38,노엘요양원,노인의료복지시설,노인요양시설,인천광역시 서구 단봉로 191 (오류동),73,개인,2021-10-01,032-563-1006,2026-06-10
39,늘사랑요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 청라커낼로 280, 8층 (청라동, (청라동, 골드프라자))",49,개인,2021-10-01,032-565-5633,2026-06-10
40,벧엘요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 144, 3층 301호 (마전동)",28,개인,2021-11-01,032-569-0723,2026-06-10
41,클래상스요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 서달로20번길 7, 1~3층 (석남동)",94,개인,2021-12-01,032-572-9771,2026-06-10
42,다솔요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로819번길 7-3 (원당동),49,개인,2021-12-01,032-568-8825,2026-06-10
43,한사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로208번길 14 (공촌동),49,개인,2022-01-01,032-561-0778,2026-06-10
44,미소인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서달로 14-7 (석남동),49,개인,2022-01-01,032-575-5007,2026-06-10
45,행복요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 승학로 577, 2층 210호 (검암동)",24,개인,2022-03-01,032-566-5009,2026-06-10
46,행복드림요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 연희로39번길 16, 1~3층 (연희동)",41,개인,2022-03-01,032-567-1193,2026-06-10
47,검암요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 승학로 528, 2층 (검암동, 아카데미프라자)",29,개인,2022-04-01,032-566-3313,2026-06-10
48,늘편한요양원,노인의료복지시설,노인요양시설,인천광역시 서구 도요지로42번길 21-1 (경서동),29,개인,2022-08-01,032-528-8511,2026-06-10
49,드림숲요양원,노인의료복지시설,노인요양시설,인천광역시 서구 단봉로 183 (오류동),49,개인,2022-09-01,032-568-9566,2026-06-10
50,더나은재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 장고개로 277-1, B1,5,6,7층 (가좌동, 청운프라자)",67,개인,2022-11-01,032-573-0999,2026-06-10
51,검단 다은요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로95번길 28, 5층 (당하동)",18,개인,2022-11-01,032-566-6617,2026-06-10
52,믿음요양원,노인의료복지시설,노인요양공동생활가정,"인천광역시 서구 가정로 302, 2층 (석남동)",9,개인,2022-12-01,032-582-2223,2026-06-10
53,소망요양원,노인의료복지시설,노인요양공동생활가정,"인천광역시 서구 가정로 302, 3층 (석남동)",9,개인,2022-12-01,032-582-2223,2026-06-10
54,샬롬요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 474, 901호 (왕길동)",29,개인,2022-12-01,032-566-1009,2026-06-10
55,온누리노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산로45번길 18 (원당동),44,개인,2022-12-01,032-569-0591,2026-06-10
56,다정요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로95번안길 21, 5층 (당하동, 원당지구멀티프라자)",29,개인,2023-01-01,032-568-6060,2026-06-10
57,가현재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 70, 303호 (마전동, 영남탑스빌웰빙타운)",28,개인,2023-03-01,032-569-7620,2026-06-10
58,해오름재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 70, 302호 (마전동, 영남탑스빌웰빙타운)",28,개인,2023-03-01,032-569-7619,2026-06-10
59,사랑재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 70, 301호 (마전동, 영남탑스빌웰빙타운)",28,개인,2023-03-01,032-569-7621,2026-06-10
60,노인요양시설 혜움,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로56번길 17 (심곡동),49,개인,2023-04-01,032-565-0306,2026-06-10
61,이레행복요양원,노인의료복지시설,노인요양시설,인천광역시 서구 경서로32번길 3-8 (경서동),29,개인,2023-03-01,032-566-2118,2026-06-10
62,모니카요양원,노인의료복지시설,노인요양시설,인천광역시 서구 연희로42번길 6 (연희동),45,개인,2023-07-01,032-563-8250,2026-06-10
63,온마음요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 159, 9층 901호 (왕길동, 장수프라자)",28,개인,2023-07-01,032-566-8654,2026-06-10
64,시온휴요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 심곡로 53, 지하1,2~7층 (심곡동, 시온빌딩)",92,개인,2023-08-01,032-564-2211,2026-06-10
65,소나무요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로121번길 25, 202호 (원당동, 제일프라자)",29,개인,2023-07-01,032-321-3520,2026-06-10
66,가현산재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 411 (대곡동),99,개인,2023-07-01,032-261-8800,2026-06-10
67,다인실버타운요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 415 (대곡동),99,개인,2023-07-01,032-204-3686,2026-06-10
68,라포레실버요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 413 (대곡동),99,개인,2023-07-01,032-207-7977,2026-06-10
69,검단품안에요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로623번길 13, 3,4층 (마전동)",29,개인,2023-08-01,032-272-9988,2026-06-10
70,동국휴요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 505, 406~408호 (마전동, 이지화인프라자)",29,개인,2023-09-01,032-716-6677,2026-06-10
71,더편한요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 153, 701,901호 (왕길동)",27,개인,2023-10-01,032-564-4222,2026-06-10
72,사랑 요양원,노인의료복지시설,노인요양공동생활가정,"인천광역시 서구 가정로 302, 4층 (석남동)",9,개인,2023-10-01,032-715-5200,2026-06-10
73,새빛요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 원당대로 865, 7층 (원당동)",26,개인,2023-11-01,032-565-3538,2026-06-10
74,환영간호전문요양원,노인의료복지시설,노인요양시설,인천광역시 서구 경서로56번길 15-5 (경서동),42,개인,2024-02-01,032-277-2672,2026-06-10
75,가족사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 신석로112번길 24 (석남동),24,개인,2024-06-01,032-577-0450,2026-06-10
76,메디홈요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 청라에메랄드로 78, 206호 (청라동)",27,개인,2024-05-01,032-569-4900,2026-06-10
77,보람요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 144, 5층 501호 (마전동)",15,개인,2024-05-01,032-563-8371,2026-06-10
78,검단요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 144, 2층 203호 (마전동)",14,개인,2024-06-01,070-7636-9988,2026-06-10
79,대곡실버요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-2 (대곡동),77,개인,2024-07-01,032-261-3030,2026-06-10
80,검단봄요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로95번길 28, 3,4층 (당하동)",39,개인,2024-07-01,032-561-0017,2026-06-10
81,그라테스요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-1 (대곡동),97,개인,2024-07-01,032-201-1561,2026-06-10
82,검단우리요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로95번길 28, 2층 (당하동)",26,개인,2024-07-01,032-561-8366,2026-06-10
83,아름다운인생프리미엄 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-3 (대곡동),99,개인,2024-07-01,032-201-5678,2026-06-10
84,검단힘찬요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 원당대로 853, 8층 (원당동)",29,개인,2024-08-01,032-262-3288,2026-06-10
85,굿모닝요양원,노인의료복지시설,노인요양시설,인천광역시 서구 건지로334번길 3 (가좌동),49,개인,2024-08-01,032-584-2126,2026-06-10
86,월드실버타운 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서달로149번길 6-8 (석남동),49,개인,2024-08-01,032-577-1214,2026-06-10
87,엘림요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 연희로42번길 14, 2~4층 (연희동)",29,개인,2024-09-01,032-566-8877,2026-06-10
88,바른요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로208번길 23 (공촌동),49,개인,2024-09-01,032-564-2100,2026-06-10
89,원당사랑마루요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 원당대로 853, 501호 (원당동)",29,개인,2024-10-01,032-567-3275,2026-06-10
90,복지콜요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로819번길 7-5 (원당동),29,개인,2024-10-01,032-561-3129,2026-06-10
91,검단희망요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 159, 7층 701호 (왕길동)",28,개인,2024-11-01,032-000-0000,2026-06-10
92,검단진요양원,노인의료복지시설,노인요양시설,인천광역시 서구 마전로115번길 2-6 (마전동),49,개인,2025-03-01,032-563-5200,2026-06-10
93,그레이스힐요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로623번길 17, 3~5층 (마전동, 동인빌딩)",49,법인,2025-04-01,070-4550-8920,2026-06-10
94,포그니 재활실버케어,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로502번길 18, 3~5층 (마전동, 제일프라자)",99,개인,2025-04-01,032-565-4545,2026-06-10
95,효나무재활요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 508, 5,6층 (마전동)",59,개인,2025-07-01,032-583-9988,2026-06-10
96,서인천요양원,노인의료복지시설,노인요양시설,인천광역시 서구 장고개로 262 (가좌동),72,개인,2025-08-01,032-710-1371,2026-06-10
97,누리요양원,노인의료복지시설,노인요양시설,인천광역시 서구 승학로197번길 20-9 (심곡동),29,개인,2025-09-01,032-433-3322,2026-06-10
98,클레어요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서곶로 270 (심곡동),77,개인,2026-05-01,032-285-4605,2026-06-10
99,검단포도나무요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대촌로 9 (오류동),49,개인,2026-05-01,032-565-6599,2026-06-10
100,효사랑요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 19, 601호",39,개인,2026-06-01,032-563-3400,2026-06-10
101,검단진주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 마전로115번길 2-6 (마전동),24,개인,2025-03-01,032-563-5200,2026-06-10
102,간호돌봄재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로 97, 402호 (당하동)",0,개인,2025-02-01,032-715-8021,2026-06-10
103,가나안재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로 9, 112동 211호 (심곡동, 광명아파트상가)",0,개인,2026-03-01,032-563-1114,2026-06-10
104,연승방문재가센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로685번길 30, 상가동 209호 (마전동, 당하2차풍림아이원아파트)",0,개인,2024-10-01,032-564-0901,2026-06-10
105,검단보람노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청마로7번길 15, 3층 (당하동)",0,개인,2018-10-01,032-562-4665,2026-06-10
106,그림재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 248, 304호 (심곡동)",0,개인,2020-09-01,032-565-6205,2026-06-10
107,다돌봄방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 852, 303-1호 (당하동, 청신프라자)",0,법인,2026-02-01,032-566-9950,2026-06-10
108,청춘재활주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로65번길 9, 5층 (마전동, 준프라자)",38,개인,2025-10-01,,2026-06-10
109,빛과소금재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로 144, 902호 (마전동)",0,개인,2024-12-01,032-566-8532,2026-06-10
110,A천사의방문행복나눔 노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로820번1길 13 (당하동),0,개인,2020-10-01,032-556-7799,2026-06-10
111,사랑나눔회 복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로495번길 4-1, 112호 (검암동, 다복빌딩)",0,개인,2018-11-01,032-562-7945,2026-06-10
112,소리재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로685번길 5, B동 206호 (마전동)",0,개인,2024-08-01,032-562-8908,2026-06-10
113,가정재가장기요양기관,재가노인복지시설,재가노인복지시설,인천광역시 서구 원창로239번길 29-2 (가정동),0,개인,2023-12-01,032-226-0015,2026-06-10
114,성모재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 봉화로69번길 23 (오류동),0,법인,2008-06-02,032-569-6796,2026-06-10
115,구립 서구치매전담형주야간보호센터(치매안심돌봄터),재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉오재3로94번길 11, 5층 (가정동, MK타워)",24,법인,2021-03-01,032-579-9112,2026-06-10
116,청라노인주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라에메랄드로102번길 10, 4층 (청라동, 청라리치아노)",50,개인,2020-04-01,032-563-7701,2026-06-10
117,인천참사랑병원 부설 햇살데이케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원창로240번길 6, 3층 (가정동)",40,개인,2020-08-01,032-582-9111,2026-06-10
118,서구루원재활 노인주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로464번길 11, 3층 303~306호 (가정동)",32,개인,2024-02-01,032-564-0110,2026-06-10
119,행복한 노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 258, 2층 201호 (석남동, 지인프라자)",24,개인,2019-11-11,032-575-7395,2026-06-10
120,재가노인복지센터 리하원,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라커낼로260번길 7-15, 3층 (청라동, 반안프라자 3차)",58,법인,2020-10-01,032-563-1337,2026-06-10
121,서구재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 신석로121번길 10 (석남동, 신관1층)",0,법인,2008-06-02,032-582-4074,2026-06-10
122,현대재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 명가골로 26, 1층 3호 (석남동)",0,개인,2025-07-01,032-571-2794,2026-06-10
123,서부노인주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로 389, 2, 3층 (가좌동)",62,개인,2020-09-01,032-573-8114,2026-06-10
124,153재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로 453, 3층 (왕길동, 정풍빌딩)",24,개인,2020-06-01,032-567-1530,2026-06-10
125,은혜 재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가경주로10번길 13, 102호 (가정동)",0,개인,2021-06-02,032-578-9458,2026-06-10
126,미소노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 853, 2층 204-1호 (원당동)",0,개인,2024-02-01,032-561-1029,2026-06-10
127,우리집 데이케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로95번안길 11, 3층 (당하동)",47,개인,2025-04-01,032-567-2307,2026-06-10
128,시온휴재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로 53, 2층 (심곡동)",0,개인,2024-05-01,032-564-2211,2026-06-10
129,구구팔팔주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로95번길 28, 5층 (당하동)",40,개인,2025-11-01,032-568-0111,2026-06-10
130,다효주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로98번길 1, 2층 (심곡동)",48,개인,2019-08-19,032-724-8878,2026-06-10
131,행복재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 용두산로13번길 3 (심곡동),0,개인,2019-12-23,032-566-8119,2026-06-10
132,다은 주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로835번길 7 (원당동),48,개인,2024-08-01,032-567-7519,2026-06-10
133,(주)케어링 방문요양센터 인천점,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 93, 2층 (심곡동)",0,법인,2024-05-01,032-567-4198,2026-06-10
134,최우수노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 451, 1136호 (가정동)",0,개인,2024-08-01,032-561-5047,2026-06-10
135,인천노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로249번길 32-4 (석남동),0,개인,2021-01-01,070-4647-4786,2026-06-10
136,행복더하기 재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 451, 7층 747호 (가정동)",0,개인,2024-12-01,032-565-1123,2026-06-10
137,봄연세데이케어 나은센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로399번길 3, 2,4층 (가좌동)",99,개인,2022-11-01,032-574-3179,2026-06-10
138,제일노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 55, 802호 (심곡동)",0,개인,2022-01-01,032-574-2788,2026-06-10
139,우리한마음재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 율도로 25, 601호 (신현동, 청라빌딩)",0,개인,2025-05-01,,2026-06-10
140,행복드림재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 새오개로54번길 15-1, 502호 (신현동)",0,개인,2023-03-14,032-265-1005,2026-06-10
141,복지콜노인복지센터주식회사,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로64번길 12, 3층 (마전동)",0,법인,2019-03-01,032-565-3129,2026-06-10
142,감꽃방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 198, 1동 206-1호 (심곡동, 극동늘푸른아파트 상가)",0,개인,2020-12-01,032-710-3181,2026-06-10
143,서구노인주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로 336, 1층~3층 (연희동)",58,개인,2021-04-01,032-565-3966,2026-06-10
144,마하나임 재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라커낼로 252, 201동 1307호 (청라동, 청라 롯데캐슬)",0,개인,2024-11-01,032-223-3927,2026-06-10
145,나은 연세데이케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 신진말로 36, 1층 (가좌동)",39,개인,2019-08-22,032-573-3179,2026-06-10
146,봄봄재활데이케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로 183, 2층 (석남동)",61,개인,2025-08-01,032-573-9538,2026-06-10
147,으뜸주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청마로19번길 21, 3층 (당하동)",38,개인,2019-09-30,032-564-2207,2026-06-10
148,청라효주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 중봉대로 588, 1001호 (청라동, 센트럴프라자)",38,개인,2023-05-01,032-563-7709,2026-06-10
149,김간호사 재활 주간보호,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로45번길 16, 201호 (마전동)",37,개인,2024-03-01,032-724-9887,2026-06-10
150,서구루원노인주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로 472, 302~304호 (가정동)",41,개인,2023-07-01,032-565-0035,2026-06-10
151,두드림주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로 78, 2,3층 (심곡동, 도시빌딩)",49,개인,2018-07-27,032-563-3388,2026-06-10
152,대교뉴이프 주간보호센터 인천청라센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라에메랄드로102번길 8-18, 3층 (청라동)",80,개인,2025-03-01,032-564-1007,2026-06-10
153,삼성노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원적로47번길 27-2, 1층 (가좌동)",0,개인,2024-05-01,032-573-3522,2026-06-10
154,어르신의하루 데이케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로 748, 206호 (불로동, 일번지프라자)",50,개인,2022-10-01,032-568-1995,2026-06-10
155,샬롬노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로64번길 7, 108동 601호 (마전동, 영남탑스빌아파트)",0,개인,2017-04-01,032-565-1680,2026-06-10
156,서해구재활방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로255번길 14-15, 202호 (심곡동, 태원상가)",0,개인,2024-01-01,032-563-9986,2026-06-10
157,제일사랑노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 칠천왕로33번길 22, 3층 (석남동)",0,개인,2024-09-01,032-574-0984,2026-06-10
158,향기재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로 816, 가동 205호 (당하동)",0,개인,2021-03-01,032-563-8927,2026-06-10
159,성광재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로126번길 23 (가좌동),0,법인,2008-05-30,032-577-1590,2026-06-10
160,소망 노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로284번길 4, 101호 (가좌동, 영화연립)",0,개인,2021-02-01,032-571-0112,2026-06-10
161,기억너머주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 도곡로 198 (대곡동),43,개인,2018-08-22,032-567-3129,2026-06-10
162,가가호호주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로95번길 28, 302호 (당하동, 풍산프라자)",45,개인,2020-01-01,032-721-8788,2026-06-10
