"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시군구코드","시군구명","시설주소","전화번호","우편번호"
"우리모두데이케어센터","A1074","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로63가길 92 (등촌동)","",""
"시립동부치매단기보호센터","A1102","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 마장로23길 8 (홍익동)","",""
"시립동부데이케어센터","A1103","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)","",""
"서울시 강서구 재가노인복지기관","A1193","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 금낭화로 54-20, 3층 (방화동)","",""
"아현노인복지센터","A1216","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 마포대로26길 19 (아현동)","",""
"중계데이케어센터","A1372","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 덕릉로 662, 1,2층 (중계동, 중계3단지주공영구임대아파트)","",""
"상계데이케어센터","A1434","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25 (상계동)","",""
"갈현데이케어센터","A1605","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 통일로89길 12-6 (갈현동)","",""
"약수데이케어센터","A1609","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 양녕로36길 13 (상도동)","",""
"마포보사재가노인복지기관","A1676","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 성미산로29안길 30, 2층 (연남동)","",""
"서울시 송파구재가노인복지기관","A1717","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 백제고분로41길 19-24 (송파동)","",""
"효림데이케어센터","A1721","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62 (충정로3가)","",""
"서울시동대문구재가노인복지기관","A1722","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 장한로27가길 53 (장안동)","",""
"한빛데이케어센터","A1963","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 신월로11길 16, 5층 (신월동)","",""
"한사랑복지센터","A2055","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 은천로 83-1 (봉천동)","",""
"송파치매주.야간보호센터","A2065","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 백제고분로32길 41 (삼전동)","",""
"홍은데이케어센터","A2069","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 홍은중앙로9길 43, 2층 (홍은동)","",""
"노원1치매데이케어센터","A2104","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 월계로 372, 1층 (월계동, 사슴아파트1단지 노원1종합사회복지관)","",""
"궁동데이케어센터","A2252","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1153000000","구로구","서울특별시 구로구 부일로17길 158-4 (궁동)","",""
"그린리버노인복지센터","A2310","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 성내천로 189 (마천동)","",""
"신림다사랑노인복지센터","A2382","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 남부순환로 1534 (신림동,3층)","",""
"마포동부재가노인복지기관 ","A2419","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 만리재로 99, 2, 3층 (공덕동, 헤이븐 오피스텔)","",""
"구립영등포노인복지센터","A2526","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 선유서로34길 10 (양평동3가)","",""
"구립영등포노인복지센터","A2527","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 선유서로34길 10 (양평동3가)","",""
"다정노인복지센터","A2610","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 용답중앙11길 3-1 (용답동)","",""
"관악노인종합사회복지관 병설 관악데이케어센터","A2773","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 보라매로 35 (봉천동)","",""
"광진데이케어센터","A2777","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1121500000","광진구","서울특별시 광진구 군자로 88 (군자동)","",""
"시립서부데이케어센터","A2795","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 월드컵로36길 15 (성산동)","",""
"가양5데이케어센터","A2870","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 양천로57길 36 (가양동)","",""
"마포데이케어센터","A2905","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 서강로 68, 2층 (창전동, 마포노인종합복지관)","",""
"노인요양센터 인영실버","A2919","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1154500000","금천구","서울특별시 금천구 금하로 596 (시흥동, 인영실버빌딩)","",""
"기둥재가노인복지시설","A2958","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 면목로33길 50 (면목동,2층)","",""
"시립성북노인종합복지관 주간보호센터","A3223","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 종암로21길 21-4 (종암동)","",""
"구로노인종합복지관 병설 구로데이케어센터","A3269","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1153000000","구로구","서울특별시 구로구 새말로16길 7 (구로동)","",""
"엘림노인복지원","A3318","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 거마로3길 14-3 (거여동,2층)","",""
"서울예정재가노인복지센터","A3334","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 용마산로 3485동 1504호","",""
"시립서대문노인종합복지관데이케어센터","A3382","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57 (천연동)","",""
"중랑데이케어센터","A3397","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 겸재로9길 45 (면목동)","",""
"덕수노인복지센터","A3678","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 성북로28길 14 (성북동)","",""
"강남데이케어센터","A3755","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 삼성로 628 (삼성동)","",""
"동작데이케어센터","A3938","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 상도로11길 7 (대방동)","",""
"목련데이케어센터","A3989","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 개포로 617-8 (개포동)","",""
"용산데이케어센터","A4021","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1117000000","용산구","서울특별시 용산구 독서당로11길 16 (한남동)","",""
"서울시 강남구 재가노인복지기관","A4036","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 개포로24길 29, 지하호 (개포동)","",""
"구립영등포노인종합복지관병설데이케어센터","A4044","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 도림로 482 (문래동3가)","",""
"성동노인종합복지관 병설 성동데이케어센터","A4120","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)","",""
"양천어르신종합복지관병설양천데이케어센터","A4153","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동로3길 106 (신정동)","",""
"시립은평노인종합복지관 병설 은평데이케어센터","A4163","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로 415 (진관동)","",""
"노인통합지원센터","A4189","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 봉은사로24길 70 (역삼동)","",""
"시립강동노인복지관 데이케어센터","A4272","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1174000000","강동구","서울특별시 강동구 동남로71길 32-5 (명일동)","",""
"동대문노인종합복지관병설주간보호센터","A4284","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 제기로33길 25 (청량리동)","",""
"장수복지센터","A4339","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 응암로 145 (북가좌동,4층)","",""
"시립 강서노인복지관 데이케어센터","A4373","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로61길 85 (등촌동)","",""
"성모노인복지센터","A4583","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 효령로 53, 416호 (방배동, 방배오피스텔)","",""
"효노인복지센터","A4584","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1130500000","강북구","서울특별시 강북구 오현로 194 (번동)","",""
"강북노인복지센터","A4604","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1130500000","강북구","서울특별시 강북구 도봉로67길 48-6 (미아동)","",""
"서울중앙가정봉사원파견센터","A4623","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1130500000","강북구","서울특별시 강북구 월계로 53-3 (미아동)","",""
"아차산노인복지센터","A4801","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1121500000","광진구","서울특별시 광진구 긴고랑로 164 (중곡동,1층)","",""
"수실버주간보호","A4841","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 성내천로 212, 3, 4층 (마천동)","",""
"시립강북노인종합복지관병설 강북데이케어센터","A4874","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1130500000","강북구","서울특별시 강북구 삼양로92길 40 (수유동)","",""
"구립서대문데이케어센터","A4930","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 홍지문2길 59 (홍은동)","",""
"신목행복자리 데이케어센터","A4963","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 신목로 10 (신정동)","",""
"구립 역삼데이케어센터","A5002","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 도곡로27길 27 (역삼동)","",""
"서울시 종로구 재가노인복지기관","A5003","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1111000000","종로구","서울특별시 종로구 지봉로12나길 1, 지층 우측 102 (숭인동)","",""
"열린재가노인지원서비스센터","A5012","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1121500000","광진구","서울특별시 광진구 천호대로 591, 2층 (중곡동)","",""
"명화 데이케어센터","A5024","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 광평로51길 49 (수서동)","",""
"구립양천데이케어센터","A5052","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 신월로 26 (신정동)","",""
"종로데이케어센터","A5081","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1111000000","종로구","서울특별시 종로구 지봉로13길 82 (창신동)","",""
"애린단기보호센터","A5210","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동중앙남로3길 42 (목동,3층)","",""
"본마을데이케어센터","A5234","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 신원동 446 ","",""
"도봉실버데이케어센터","A5265","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 시루봉로 133 (방학동)","",""
"강서구립 봉제산데이케어센터","A5282","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡동 산 41-16 ","",""
"서울시 동작구 재가노인복지기관","A5440","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 양녕로28길 41, 지1층 (상도동, 대왕주택)","",""
"서울시 성북구 재가노인복지기관","A5532","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 장월로1길 107, 301호 (하월곡동)","",""
"인덕재가노인복지센터","A5549","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로48길 41 (진관동)","",""
"인덕데이케어센터","A5551","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로48길 41 (진관동)","",""
"중구재가노인지원센터","A5556","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1114000000","중구","서울특별시 중구 퇴계로88길 37 (신당동)","",""
"연희데이케어센터","A5630","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 성산로 271 (연희동)","",""
"해피엘노인복지센터","A5644","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1121500000","광진구","서울특별시 광진구 자양로13길 47 (자양동)","",""
"구립동안명성데이케어센터","A5701","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 무학로28길 22-2 (용두동)","",""
"상록재가노인지원센터","A5801","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 남현길 63 (남현동)","",""
"민들레데이케어센터","A5813","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 성내천로 193 (마천동)","",""
"강동구립 해공데이케어센터","A5817","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1174000000","강동구","서울특별시 강동구 천중로17길 42-16 (천호동)","",""
"신명데이케어센터","A5823","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 증산로15길 47 (신사동)","",""
"보현데이케어센터","A5868","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1111000000","종로구","서울특별시 종로구 평창4길 21-22 (평창동)","",""
"수호데이케어센터","A5914","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 인헌길 161-9 (봉천동)","",""
"서초노인주간보호센터","A5933","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 강남대로30길 73-7 (양재동)","",""
"염리재가노인복지센터","A5985","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 숭문길 36-7 (염리동)","",""
"(복)노인낙원은파케어센터","A6058","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 방배로20길 17 (방배동)","",""
"(사)굿하트 전문사례관리 동작재가센터","A6173","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 양녕로28길 41 (상도동)","",""
"미아실버데이케어센터","A6258","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1130500000","강북구","서울특별시 강북구 미아동 223-18 ","",""
"아현실버데이케어센터","A6358","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 환일길 3 (아현동)","",""
"역촌데이케어센터","A6401","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로3나길 11-30 (역촌동)","",""
"구립대치데이케어센터","A6437","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 역삼로69길 22 (대치동)","",""
"서울시 중랑구 재가노인복지기관","A6614","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 동일로160길 49 (묵동, 지층)","",""
"서울시 금천구 재가노인복지기관","A6676","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1154500000","금천구","서울특별시 금천구 시흥대로 399, 314, 314-1 (독산동, 시티렉스)","",""
"마포노인데이케어센터","A6761","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 만리재옛12길 6-2 (공덕동)","",""
"우영가정봉사원파견센터재가노인복지센터","A6797","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1111000000","종로구","서울특별시 종로구 김상옥로 18-5, 201호 (연지동)","",""
"구립성수1가2동서울숲데이케어센터","A6820","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 왕십리로5길 3, 3층 (성수동1가, 성수1가제2동 공공복합청사)","",""
"서초어르신행복e음센터","A7032","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 방배중앙로 159-6 (방배동)","",""
"마포서부재가노인복지기관","A7060","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 마포대로11길 44-81 (아현동, 2층)","",""
"서울시 노원구 재가노인복지기관","A7094","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 상계로23길 원터행복발전소 3 층","",""
"행복한세상복지센터","A7104","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1174000000","강동구","서울특별시 강동구 구천면로57길 24, 1층 (암사동)","",""
"서울시 구로구재가노인복지기관","A7117","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1153000000","구로구","서울특별시 구로구 디지털로27다길 65, B1층 (구로동)","",""
"은평어르신돌봄통합지원센터","A7277","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로13길 29-7, 3층 (구산동, 은평어르신돌봄통합지원센터)","",""
"왕십리도선동데이케어센터","A7358","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 마장로 141 (상왕십리동)","",""
"참조은재가복지센타","A7362","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 월계로55길 3 (월계동, 사슴아파트3단지 상가 202호)","",""
"구산데이케어센터","A7380","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로13길 29-7, 4층 (구산동)","",""
" 양원사랑데이케어센터","A7458","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 양원역로16길 103-31 (망우동)","",""
"동소문데이케어센터","A7596","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 동소문로11길 18, 101호 (동소문동4가, 삼총사타운)","",""
"청운데이케어센터","A7738","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 국사봉1길 145 (상도동)","",""
"평화행복한데이케어센터","A7770","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 노원로 331 (중계동)","",""
"청운실버데이케어센터","A7809","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1111000000","종로구","서울특별시 종로구 자하문로28길 29 (청운동)","",""
"시립중계노인전문요양원병설데이케어센터","A7837","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1135000000","노원구","서울특별시 노원구 섬밭로 313, 1층 (중계동, 시립중계요양원)","",""
"사회복지법인노인낙원은파복지사업소","A7850","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 명달로4길 77 (서초동)","",""
"송파버들데이케어센터","A7893","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1171000000","송파구","서울특별시 송파구 충민로 184 (장지동)","",""
"길음안나데이케어센터","A8009","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 길음로9길 46 (길음동)","",""
"대길홈케어센터","A8011","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 영등포로84길 24-14, 지하 1층 (신길동)","",""
"정릉데이케어센터","A8036","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 솔샘로 8 (정릉동)","",""
"상도데이케어센터","A8148","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 상도로39가길 7 (상도1동)","",""
"구립영등포노인케어센터 병설 엘림데이케어센터","A8203","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 도림로 482 (문래동3가)","",""
"중화데이케어센터","A8474","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 동일로138길 28 (중화동,구립중화경로복지관 병설)","",""
"보사노인케어센터","A8603","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 성미산로32길 51, 203호 (연남동)","",""
"창전데이케어센터","A8872","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1144000000","마포구","서울특별시 마포구 서강로1길 30, 4층 (창전동)","",""
"사랑나눔노인복지센터","A8896","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1153000000","구로구","서울특별시 구로구 구로동로 241","",""
"강남논현데이케어센터","A8948","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 논현로136길 5-8 (논현동)","",""
"서울시니어스타워(주)","A9021","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 화곡로68길 102 (등촌동)","",""
"희망주야간보호센터","A9042","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1153000000","구로구","서울특별시 구로구 중앙로 79 (고척동, 고척교회)","",""
"역삼재가노인데이케어센터","A9059","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 언주로71길 19, 3~5층 (역삼동)","",""
"구립용산노인데이케어센터","A9074","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1117000000","용산구","서울특별시 용산구 효창원로93길 51 (효창동)","",""
"서울시 성동구 재가노인복지기관","A9103","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 한림말길 16-5, 4층 (옥수동)","",""
"구립동안홍릉데이케어센터","A9244","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 홍릉로 81, 3층 (청량리동, 홍릉문화센터)","",""
"면목종합사회복지관병설 면목데이케어센터","A9254","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1126000000","중랑구","서울특별시 중랑구 면목동 1382 면목(아) 면목사회복지관 ","",""
"서울시 도봉구 재가노인복지기관","A9256","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1132000000","도봉구","서울특별시 도봉구 시루봉로 130 (방학동, 정목빌딩 4층)","",""
"훼미피아데이케어센터","A9313","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1150000000","강서구","서울특별시 강서구 공항대로39길 59 (등촌동,등촌4종합사회복지관내)","",""
"죽헌 미르데이센터(관악1호)","A9359","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1162000000","관악구","서울특별시 관악구 은천로 ","",""
"은평신사데이케어센터","A9360","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 은평로 6 (신사동)","",""
"불광데이케어센터","A9377","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 연서로32길 17-11 (불광동)","",""
"신당데이케어센터","A9412","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1114000000","중구","서울특별시 중구 다산로25길 6 (신당동)","",""
"서초구립방배데이케어센터","A9511","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1165000000","서초구","서울특별시 서초구 방배천로16길 5 (방배동)","",""
"구립당산데이케어센터","A9650","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1156000000","영등포구","서울특별시 영등포구 당산로29길 9, 2층 (당산동3가)","",""
"삼육서울병원재가노인복지센터","A9724","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1123000000","동대문구","서울특별시 동대문구 망우로 82 (휘경동,삼육서울병원)","",""
